,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1300,tv show,amend: the fight for america,unknown,"will smith, mahershala ali, laverne cox, utkarsh ambudkar, bambadjan bamba, sterling k. brown, bobby cannavale, rafael casal, whitney cummings, daveed diggs, hannah gadsby, joseph gordon-levitt, graham greene, diane guerrero, helen hunt, joshua jackson, samuel l. jackson, aja naomi king, diane lane, ki hong lee, gabriel luna, marsai martin, dermot mulroney, tig notaro, jae suh park, randall park, pedro pascal, yara shahidi, alia shawkat, algee smith, willow smith, courtney b. vance, lena waithe, samira wiley, larry wilmore",united states,17-feb-21,2021,tv-ma,360,docuseries,"will smith hosts this look at the evolving, often lethal, fight for equal rights in america through the lens of the us constitution's 14th amendment."
1301,tv show,behind her eyes,unknown,"simona brown, eve hewson, tom bateman, robert aramayo, tyler howitt, georgie glen",united kingdom,17-feb-21,2021,tv-ma,360,"british tv shows, international tv shows, tv dramas",a single mother enters a world of twisted mind games when she begins an affair with her psychiatrist boss while secretly befriending his mysterious wife.
1302,tv show,meateater,unknown,steven rinella,united states,17-feb-21,2021,tv-14,720,"docuseries, reality tv, science & nature tv",steven rinella scrounges in some of america's wildest terrains in this unscripted series showing him on the hunt for wild animals from ducks to deer.
1303,movie,the most unknown,ian cheney,unknown,united states,17-feb-21,2018,tv-pg,92,documentaries,"traversing disciplines from physics to psychology, nine scientists share ideas and seek common ground by delving into deep existential questions."
1304,movie,animals on the loose: a you vs. wild movie,ben simms,bear grylls,united states,16-feb-21,2021,tv-pg,139,children & family movies,"when wild animals escape from a sanctuary, bear grylls — and you — must pursue them and secure their protective habitat. an interactive special."
1305,movie,awara paagal deewana,vikram bhatt,"akshay kumar, sunil shetty, aftab shivdasani, preeti jhangiani, amrita arora, aarti chhabria, paresh rawal, johny lever, rahul dev, supriya pilgaonkar",india,16-feb-21,2002,tv-14,162,"action & adventure, comedies, dramas",a dentist unwittingly becomes caught in the madcap fight between two criminal brothers-in-law trying to kill one another off to claim their inheritance.
1306,tv show,good girls,unknown,"christina hendricks, retta, mae whitman, matthew lillard, reno wilson, manny montana, lidya jewett, izzy stannard, david hornsby, zach gilford",united states,16-feb-21,2020,tv-ma,540,"crime tv shows, tv comedies, tv dramas",three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence – together.
1307,movie,the resurrection of gavin stone,dallas jenkins,"brett dalton, anjelah johnson-reyes, d.b. sweeney, neil flynn, shawn michaels, patrick gagnon, tim frank, tara rios, liam matthews, mary thornton",united states,16-feb-21,2017,pg,92,"children & family movies, comedies, dramas","after one too many run-ins with the law, a hollywood bad boy finds redemption while fulfilling his court-ordered community service at a megachurch."
1308,tv show,booba,unknown,roman karev,united kingdom,15-feb-21,2021,tv-y7,720,"kids' tv, tv comedies","the world is a mystery to little booba. but he approaches the curiosities around him with wonder, finding adventure in his everyday surroundings."
1309,movie,"my teacher, my obsession",damián romay,"lucy loken, laura bilgeri, rusty joiner, alexandria deberry, dakota bruton, theresa sutera, vin morreale jr., shelby alicea, tyler joseph campbell, lestonja diaz",united states,15-feb-21,2018,tv-14,86,thrillers,"when riley changed schools, she didn't expect the girls to crush on her english teacher dad. and he didn't expect a disturbing infatuation."
1310,tv show,the crew,unknown,"kevin james, sarah stiles, jillian mueller, freddie stroma, gary anthony williams, dan ahdoot",united states,15-feb-21,2021,tv-14,360,tv comedies,life in the garage swerves off track for a nascar crew chief and his tight-knit racing team when a new boss steps in and shakes things up.
1311,movie,namaste wahala,hamisha daryani ahuja,"ini dima-okojie, ruslaan mumtaz, richard mofe-damijo, joke silva, sujata sehgal, koye kekere ekun, hamisha daryani ahuja, anee icha, ibrahim suleiman, osas ighodaro, broda shaggi",nigeria,14-feb-21,2021,tv-14,107,"comedies, dramas, international movies",an interracial romance hits humorous and heart-wrenching hiccups as the couple's parents fight tooth and nail against their relationship.
1312,movie,monsoon,hong khaou,"henry golding, parker sawyers, molly harris, david tran",united kingdom,13-feb-21,2020,tv-ma,85,"dramas, independent movies, lgbtq movies",a reflective man must come to terms with his forced displacement from vietnam when he returns to his birthplace to spread his parents' ashes.
1313,tv show,buried by the bernards,unknown,unknown,united states,12-feb-21,2021,tv-14,360,reality tv,"in this reality series, the bickering but big-hearted bernards manage their budget-friendly funeral home while helping grieving families say farewell."
1314,tv show,chappelle's show,unknown,dave chappelle,united states,12-feb-21,2005,tv-ma,180,tv comedies,"the brilliant dave chappelle performs blistering stand-up, impressions and sketches that skewer topics like racism, politics, celebrities and sex."
1315,movie,hate by dani rovira,mario briongos,dani rovira,spain,12-feb-21,2021,tv-ma,83,stand-up comedy,"from his hometown of málaga, dani rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special."
1316,movie,mundina nildana,vinay bharadwaj,"praveen tej, radhika narayan, ananya kashyap, ajay raj, dattanna, shankar ashwath, kshama santosh rai, diksha sharma",india,12-feb-21,2019,tv-ma,104,"dramas, international movies, romantic movies","as three young professionals chase their wildly different dreams, their relationships with each other indelibly impact their journeys of self-discovery."
1317,tv show,nadiya bakes,unknown,nadiya hussain,united kingdom,12-feb-21,2021,tv-g,360,"british tv shows, international tv shows, reality tv","delightful cakes and heavenly breads pop from the oven as nadiya hussain returns to baking, her happy place, and spotlights creative kindred spirits."
1318,movie,to all the boys: always and forever,michael fimognari,"lana condor, noah centineo, janel parrish, anna cathcart, ross butler, madeleine arthur, emilija baranac, trezzo mahoro, sarayu blue, john corbett, kelcey mawema, sofia black-d'elia, henry thomas",united states,12-feb-21,2021,tv-14,116,"comedies, romantic movies",senior year of high school takes center stage as lara jean returns from a family trip to korea and considers her college plans — with and without peter.
1319,movie,xico's journey,eric d. cabello díaz,"verónica alva, pablo gama iturrarán “mago gamini”, luis ángel jaramillo, lila downs, elena poniatowska, verónica castro, enrique guzmán, alex lora, marco antonio solís, víctor trujillo",mexico,12-feb-21,2021,tv-y7,87,children & family movies,"a girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. but the key lies closer to home, with her sidekick pup, xico."
1320,tv show,capitani,unknown,"luc schiltz, sophie mousel, claude de demo, joe dennenwald, konstantin rommelfangen, jules werner, jil devresse, julie kieffer",luxembourg,11-feb-21,2019,tv-ma,360,"crime tv shows, international tv shows, tv dramas","in a luxembourg village where everyone is keeping secrets, gruff police inspector luc capitani investigates the suspicious death of a 15-year-old girl."
1321,tv show,el chema,unknown,"mauricio ochmann, mariana seoane, julio bracho, sergio basañez, itatí cantoral, jorge luis vázquez",mexico,11-feb-21,2016,tv-ma,360,"crime tv shows, spanish-language tv shows, tv action & adventure",follow one man's epic journey as he transforms from wily underage drug smuggler to one of the world's most infamous cartel leaders.
1322,movie,growing up and other problems,clara martínez-lázaro,"silvia alonso, bárbara goenaga, maría esteve, vito sanz, francesco carril",spain,11-feb-21,2018,tv-14,91,"comedies, dramas, international movies",a 30-something woman without a steady partner or income samples stability when her pregnant best friend asks her to be the godmother of her child.
1323,movie,layla majnun,monty tiwa,"reza rahadian, acha septriasa, baim wong, beby tsabina, dian nitami, uli herdinansyah, natasha rizki, eriska rein, landung simatupang, august melasz, chantiq schagerl, cut ashifa, aida cabiyeva, murad ismayil, nadya arina, augie fantinus, angelia livie, ernanto kusumo",indonesia,11-feb-21,2020,tv-14,119,"dramas, international movies, romantic movies","while in azerbaijan, layla, an indonesian scholar, falls for samir, an admirer of her work — but her arranged marriage stands in the way."
1324,movie,middle of nowhere,ava duvernay,"emayatzy corinealdi, david oyelowo, omari hardwick, lorraine toussaint, edwina findley dickerson, sharon lawrence, nehemiah sutton, troy curvey iii, maya gilbert, dondre t. whitfield",united states,11-feb-21,2012,r,102,"dramas, independent movies, romantic movies","after her husband is sent to prison for eight years, medical student ruby shelves her studies to focus on her partner's welfare as he serves his time."
1325,movie,red dot,alain darborg,"nanna blondell, anastasios soulis, thomas hanzon, johannes kuhnke, tomas bergström, kalled mustonen, anna azcárate",sweden,11-feb-21,2021,tv-ma,86,"international movies, thrillers","trying to rekindle their marriage and with a child on the way, a young couple on a ski trip suddenly finds themselves stalked by remorseless killers."
1326,movie,squared love,filip zylber,"adrianna chlebicka, mateusz banasiuk, agnieszka żulewska, krzysztof czeczot, mirosław baka, tomasz karolak, bartłomiej kotschedoff, jacek knap, anna smołowik, helena mazur, sebastian stankiewicz",poland,11-feb-21,2021,tv-14,102,"comedies, international movies, romantic movies",a celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.
1327,movie,this is the life,ava duvernay,"abstract rude, chali 2na, cut chemist, ellay khule, riddlore, medusa, myka nyne, pigeon john, 2mex",united states,11-feb-21,2008,tv-ma,98,"documentaries, music & musicals","examine how the group of alternative hip-hop artists known as the good lifers started a movement and created a robust, progressive musical community."
1328,tv show,crime scene: the vanishing at the cecil hotel,joe berlinger,unknown,united states,10-feb-21,2021,tv-ma,360,"crime tv shows, docuseries","the notorious cecil hotel grows in infamy when guest elisa lam vanishes. from the creator of ""the ted bundy tapes,"" a dive into crime's darkest places."
1329,movie,the misadventures of hedi and cokeman,julien royal,"hedi bouchenafa, nassim lyes, fred testot, julie ferrier, benjamin tranié, hugues jourdain, charlotte gabris, vincent desagnat, nina kepekian, hakim jemili, bun-hay mean",france,10-feb-21,2021,tv-ma,99,"comedies, international movies","in paris, two dysfunctional dealers use family ties to try to boost their small drug business in this crass comedy based on the webseries."
1330,movie,the world we make,brian baugh,"caleb castille, rose reid, kevin sizemore, gregory alan williams",united states,10-feb-21,2019,pg,108,"dramas, romantic movies","a teenage equestrian and a local football player fall for each other, but simmering racism in their small town puts their relationship to the test."
1331,tv show,five came back: the reference films,unknown,unknown,united states,09-feb-21,1945,tv-ma,360,tv shows,"this collection includes 12 world war ii-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""five came back."""
1332,tv show,icarly,unknown,"miranda cosgrove, nathan kress, jerry trainor, jennette mccurdy, noah munck, mary scheer",united states,08-feb-21,2008,tv-g,180,"kids' tv, tv comedies",a cyberstar is born when 13-year-old carly creates an internet series with a little help from her best friend sam and neighbor freddie.
1333,movie,war dogs,todd phillips,"jonah hill, miles teller, ana de armas, kevin pollak, bradley cooper, shaun toub, steve lantz, gregg weiner, jb blanc, patrick st. esprit","united states, cambodia, romania",08-feb-21,2016,r,114,"comedies, dramas",a massage therapist gets in over his head when he partners with a charismatic childhood pal in the lucrative but shady business of global arms dealing.
1334,movie,monster run,henri wong,"shawn yue, jessie li, kara wai, tu men, qiao shan, wang yutian, yang di, wang zhener",china,07-feb-21,2020,tv-14,104,"action & adventure, international movies","jimo, an outcast who can see monsters, teams up with a monster hunter to fight evil forces and soon discovers her greater calling."
1335,tv show,the sinner,unknown,"jessica biel, bill pullman, christopher abbott, abby miller, dohn norwood",united states,06-feb-21,2020,tv-ma,540,"crime tv shows, tv dramas, tv mysteries","when a young mother inexplicably stabs a stranger to death, a sympathetic detective struggles to unlock the mystery buried in her missing memories."
1336,movie,blanche gardin: i talk to myself,maïa sandoz,blanche gardin,france,05-feb-21,2017,tv-ma,88,stand-up comedy,"touching on bulimia, death and cat sodomy, this french actress and comedian is keen to push the envelope in a one-woman show with understated flair."
1337,movie,doob: no bed of roses,mostofa sarwar farooki,"irrfan khan, nusrat imroz tisha, parno mittra, rokeya prachy, nader chowdhury, rashad hossain",bangladesh,05-feb-21,2017,tv-pg,104,"dramas, independent movies, international movies","as a noted filmmaker’s infidelity becomes a media firestorm, his fractured family privately navigates the fallout of his actions for years to come."
1338,tv show,hache,unknown,"adriana ugarte, javier rey, eduardo noriega, marc martínez, ingrid rubio, pep ambròs, núria prims, roger casamajor",spain,05-feb-21,2021,tv-ma,180,"crime tv shows, international tv shows, spanish-language tv shows","as helena gains the love and trust of a dangerous heroin cartel leader in 1960s barcelona, she hones the skills she needs to rise up the ranks."
1339,tv show,invisible city,unknown,"marco pigossi, alessandra negrini, fábio lago, jéssica córes, jimmy london, wesley guimarães, áurea maranhão, julia konrad, thaia perez, manu dieguez, josé dumont, tainá medina, rafael sieg, samuel de assis, victor sparapane",brazil,05-feb-21,2021,tv-ma,360,"crime tv shows, international tv shows, tv dramas","after a family tragedy, a man discovers mythical creatures living among humans — and soon realizes they hold the key to his mysterious past."
1340,movie,little big women,joseph hsu,"chen shu-fang, hsieh ying-xuan, vivian hsu, sun ke-fang, ding ning, buffy chen, chang han, lung shao-hua, honduras, weber yang, sara yu, janine chang",taiwan,05-feb-21,2020,tv-14,123,"dramas, international movies",a family grapples with the passing of their estranged father and the remnants of the life he led during his absence.
1341,movie,malcolm & marie,sam levinson,"zendaya, john david washington",united states,05-feb-21,2021,r,106,"dramas, independent movies","as a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning."
1342,movie,space sweepers,jo sung-hee,"song joong-ki, kim tae-ri, jin sun-kyu, yoo hai-jin, richard armitage, park ye-rin",south korea,05-feb-21,2021,tv-ma,138,"action & adventure, dramas, international movies","chasing after space debris and faraway dreams in year 2092, four misfits unearth explosive secrets during the attempted trade of a wide-eyed humanoid."
1343,movie,"strip down, rise up",michèle ohayon,unknown,united states,05-feb-21,2021,r,113,documentaries,"in an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program."
1344,movie,the last paradiso,rocco ricciardulli,"riccardo scamarcio, gaia bermani amaral, valentina cervi, antonio gerardi, federica torchetti, anna maria de luca, lucia zotti, nicoletta carbonara, donato placido, mimmo mignemi",italy,05-feb-21,2020,tv-ma,107,"dramas, international movies, romantic movies","in 1950s italy, a passionate free spirit dreams of love, justice and a better life till a forbidden affair threatens everything. based on real events."
1345,movie,the yin-yang master: dream of eternity,guo jingming,"mark chao, deng lun, wang ziwen, jessie li, wang duo, sun chenjun, xu kaicheng, jasper, ju xiaowen",china,05-feb-21,2021,tv-14,133,"action & adventure, international movies","when a demonic serpent reawakens, the yin-yang masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court."
1346,movie,all my friends are dead,jan belcl,"julia wieniawa-narkiewicz, mateusz więcławek, adam graf turczyk, monika krzywkowska, nikodem rozbicki, kamil piotrowski, adam bobik, paulina gałązka, magdalena perlińska, katarzyna chojnacka, konrad żygadło, szymon roszak, michał sikorski, aleksandra pisula, wojciech łozowski, michał meyer, adam woronowicz",poland,03-feb-21,2020,tv-ma,97,"comedies, dramas, international movies","a group of friends at a new year’s eve party go through a whirlwind of events that exposes secrets, breaks hearts — and leads to a shocking outcome."
1347,movie,black beach,esteban crespo,"raúl arévalo, candela peña, paulina garcía, claude musungayi, babou cham, lidia nené, melina matthews, emilio buale, mulie jarju, jimmy castro, fenda drame, dairon tallon, teresita evuy, olivier bony","spain, belgium, united states",03-feb-21,2020,tv-ma,116,"action & adventure, international movies",a lawyer with a promising future is forced to deep dive into his past when he agrees to negotiate with an old friend turned kidnapper.
1348,tv show,firefly lane,unknown,"katherine heigl, sarah chalke, ben lawson, beau garrett, ali skovbye, roan curtis, yael yurman, jon-michael ecker, brandon jay mclaren, paul mcgillion, chelah horsdal, brendan taylor",united states,03-feb-21,2021,tv-ma,360,"romantic tv shows, tv dramas",best friends tully and kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their 40s.
1349,tv show,"pablo escobar, el patrón del mal",unknown,"andrés parra, angie cepeda, cecilia navia, vicky hernández, christian tappan, rodolfo silva, tommy vásquez, toto vega, nicolás montero, marcela gallego",colombia,03-feb-21,2012,tv-ma,360,"crime tv shows, international tv shows, spanish-language tv shows","from his days as a petty thief to becoming head of a drug-trafficking empire, this riveting series charts the life of the infamous pablo escobar."
1350,tv show,power rangers ninja steel,unknown,"william shewfelt, nico greetham, zoe robins, peter sudarso, chrysti ane, jordi webber, caleb bendit, chris reid, kelson henderson",united states,03-feb-21,2018,tv-y7,180,kids' tv,a new generation of teen heroes uses superhuman ninja powers to battle the intergalactic villain galvanax and save earth from destruction.
1351,movie,"our lady of san juan, four centuries of miracles",noé gonzález,"alejandro peña arenzana, alejandra yañez reynoso, giuliana baker, mauricio lópez, antia nazarely reynoso, felipe de jesus hernández, fernanda michelle torres",mexico,02-feb-21,2020,tv-pg,123,"dramas, faith & spirituality, international movies","in this dramatization, the virgin mary works a miracle on a girl in 1623 mexico. four centuries later, a family make a pilgrimage for their own child."
1352,tv show,tiffany haddish presents: they ready,unknown,"tracey ashley, flame monroe, aida rodriguez, marlo williams, april macie, chaunté wayans, tiffany haddish",united states,02-feb-21,2021,tv-ma,180,"stand-up comedy & talk shows, tv comedies","hand-picked by tiffany haddish, six diverse comedians showcase their raw humor in a series of specials oozing with energy."
1353,movie,beverly hills ninja,dennis dugan,"chris farley, nicollette sheridan, robin shou, nathaniel parker, soon-tek oh, keith cooke, chris rock, françois chau, dale ishimoto, daming chen",united states,01-feb-21,1997,pg-13,89,"action & adventure, comedies","raised by ninjas, a big-hearted but bumbling orphan travels to beverly hills on a mission to help a woman investigate her shady boyfriend."
1354,tv show,heartland,unknown,"amber marshall, michelle morgan, graham wardle, shaun johnston, chris potter, jessica amlee, kerry james, nathaniel arcand",canada,01-feb-21,2019,tv-14,1540,tv dramas,spunky teenager amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.
1355,tv show,love daily,unknown,"kamil mcfadden, alexandra peters, laura marano, paul karmiryan, brianne tju, alexis g. zall, leo howard, stephanie nogueras",united states,01-feb-21,2018,tv-14,360,"romantic tv shows, teen tv shows","this anthology follows 12 different love stories involving fateful encounters, magical moments and unexpected romances over the course of a year."
1356,tv show,my dead ex,unknown,"katherine hughes, ryan lee, ryan malaty, medalion rahimi, marc evan jackson, beth littleford, audrey wasilewski, matt braunger",united states,01-feb-21,2018,tv-14,360,"tv comedies, teen tv shows",high school teens charley and ben find themselves in a complicated romance when ben dies in a tragic accident but is resurrected by a magical spell.
1357,movie,rocks,sarah gavron,"bukky bakray, kosar ali, d'angelou osei kissiedu, shaneigha-monik greyson, sarah niles, ruby stokes, tawheda begum, afi okaidja, anastasia dymitrow",united kingdom,01-feb-21,2019,tv-ma,93,dramas,"following her mother's abrupt departure, a dynamic and determined teen goes to extraordinary lengths to protect and provide for her younger brother."
1358,movie,shutter island,martin scorsese,"leonardo dicaprio, mark ruffalo, ben kingsley, max von sydow, michelle williams, emily mortimer, patricia clarkson, jackie earle haley, ted levine, john carroll lynch, elias koteas",united states,01-feb-21,2010,r,139,thrillers,a u.s. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.
1359,movie,the bank job,roger donaldson,"jason statham, saffron burrows, richard lintern, stephen campbell moore, daniel mays, peter bowles, keeley hawes, colin salmon, alki david, james faulkner","united kingdom, united states, australia",01-feb-21,2008,r,112,"dramas, international movies, thrillers","a thief gets in over his head when he breaks into a bank vault full of cash, gems... and secrets on everyone from the london mob to the royal family."
1360,tv show,the house arrest of us,richard arellano,"daniel padilla, kathryn bernardo, herbert bautista, ruffa gutierrez, gardo versoza, arlene muhlach, arlene muchlach, dennis padilla, riva quenery, anthony jennings, alora sasam, huybs azarcon",philippines,01-feb-21,2020,tv-ma,360,"international tv shows, romantic tv shows, tv comedies",a couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.
1361,tv show,the unsettling,unknown,"holly taylor, tequan richmond, willow shields, an-li bogan, noah grismer, alex lange, david clayton rogers, marguerite moreau",united states,01-feb-21,2019,tv-14,360,"tv horror, teen tv shows","as 16-year-old becca adjusts to her new foster home, she starts to question her reality as strange things begin to happen all around her."
1362,tv show,total drama,unknown,"clé bennett, christian potenza, scott mccord, rachel wilson, drew nelson, stephanie anne mills, novie edwards, megan fahlenbock, brian foud, emilie-claire barlow, phillip david lewis, katie crown, sarah gadon, peter oldring, kristin fairlie, dan petronijevic, adam greydon reid","canada, united states, france",01-feb-21,2015,tv-pg,1260,"kids' tv, tv comedies","heartwarming moments are interspersed with backstabbing, scheming, sabotage and broken alliances in this animated spoof of reality show competitions."
1363,tv show,zac and mia,unknown,"kian lawley, anne winters, alexis g. zall, tory devon smith, james boyd, tanner stine, markus silbiger",united states,01-feb-21,2019,tv-14,180,"romantic tv shows, tv dramas, teen tv shows",two teenagers with cancer share a connection with each other despite their differences and extraordinary circumstances. based on a.j. betts's novel.
1364,movie,zathura,jon favreau,"jonah bobo, josh hutcherson, dax shepard, kristen stewart, tim robbins, frank oz, john alexander, derek mears, douglas tait, joe bucaro iii",united states,01-feb-21,2005,pg,101,"children & family movies, sci-fi & fantasy","a mysterious game sends two brothers flying into space, where they must reach the planet zathura — or be trapped in galactic limbo forever."
1365,tv show,zig & sharko,unknown,unknown,france,01-feb-21,2019,tv-y7,180,"kids' tv, tv comedies","zig, an island-bound hyena, will do anything to get his paws on marina the mermaid, but her devoted pal sharko always comes to her rescue in time."
1366,movie,fatima,marco pontecorvo,"joaquim de almeida, goran visnjic, stephanie gil, alejandra howard, jorge lamelas, lúcia moniz, marco d'almeida, joana ribeiro, carla chambel, elmano sancho, harvey keitel, sonia braga","portugal, united states",31-jan-21,2020,pg-13,113,"dramas, faith & spirituality","in 1917 portugal, visions of the virgin mary come to three children whose message of faith raises doubts in their family and angers authorities."
1367,movie,hell fest,gregory plotkin,"amy forsyth, reign edwards, bex taylor-klaus, tony todd, christian james, matt mercurio, michael tourek, courtney dietz, stephen conroy",united states,31-jan-21,2018,r,89,horror movies,"a serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park."
1368,movie,below zero,lluís quílez,"javier gutiérrez, karra elejalde, luis callejo, andrés gertrúdix, isak ferriz, édgar vittorino, miquel gelabert, florin opritescu, àlex monner, patrick criado",spain,29-jan-21,2021,tv-ma,107,"action & adventure, international movies","when a prisoner transfer van is attacked, the cop in charge must fight those inside and outside while dealing with a silent foe: the icy temperatures."
1369,movie,finding ‘ohana,jude weng,"kea peahu, alex aiono, lindsay watson, owen vaccaro, kelly hu, branscombe richmond, ke huy quan, brad kalilimoku, chris parnell, marc evan jackson, ricky garcia",united states,29-jan-21,2021,pg,123,"children & family movies, comedies","in oʻahu for the summer, two siblings from brooklyn connect with their hawaiian heritage — and their family — on a daring quest for long-lost treasure."
1370,movie,the dig,simon stone,"carey mulligan, ralph fiennes, lily james, johnny flynn, ben chaplin, ken stott",united kingdom,29-jan-21,2021,pg-13,113,"dramas, international movies","on the eve of world war ii, a british widow hires a self-taught archaeologist to dig up mysterious formations on her land, leading to a staggering find."
1371,tv show,we are: the brooklyn saints,unknown,unknown,united states,29-jan-21,2021,tv-14,360,docuseries,a brooklyn youth football program and its selfless coaches provide a safe haven for kids to compete and learn lessons that will take them far in life.
1372,movie,june & kopi,noviandra santosa,"acha septriasa, ryan delon, makayla rose hilli, tj",indonesia,28-jan-21,2021,tv-pg,90,"children & family movies, dramas, international movies","a street dog is taken in by a young couple, and the family pit becomes an instant accomplice as she adjusts to her new, loving home."
1373,tv show,50m2,unknown,"engin öztürk, kürşat alnıaçık, cengiz bozkurt, aybüke pusat, tolga tekin, özgür emre yıldırım, yiğit kirazcı",turkey,27-jan-21,2021,tv-ma,360,"international tv shows, tv dramas, tv thrillers","seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small istanbul neighborhood."
1374,movie,accomplice,jeremy grant,"kurt sorge, tom van steenbergen, cameron zink, graham agassiz, tyler mccaul, cameron mccaul, ethan nell, hannah bergemann, carson storch, brandon semenuk, veronique sandler, nico vink, garett buehler, jaxson riddle, andreu lacondeguy, paul genovese, paul basagoitia",united states,27-jan-21,2021,tv-14,52,"documentaries, international movies, sports movies",traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.
1375,tv show,bonding,unknown,"zoe levin, brendan scannell, micah stock, theo stockman, alex hurt, d'arcy carden, gabrielle ryan, charles gould",united states,27-jan-21,2021,tv-ma,180,"tv comedies, tv dramas",a new york city grad student moonlighting as a dominatrix enlists her gay bff from high school to be her assistant.
1376,movie,kilometers and kilometers,jeo baby,"tovino thomas, india jarvis, joju george, sidhartha siva, basil joseph, sudheesh, parvathi t, pauly valsan",india,27-jan-21,2020,tv-ma,127,"comedies, dramas, independent movies","when a debt-ridden man reluctantly agrees to drive an american tourist around india, their stark differences lead to bickering… and unexpected bonding."
1377,tv show,outlander,unknown,"caitriona balfe, sam heughan, tobias menzies, gary lewis, graham mctavish, lotte verbeek, duncan lacroix, laura donnelly, bill paterson, stephen walters, grant o'rourke, simon callow, richard rankin, sophie skelton, david berry, romann berrux, ed speleers, maria doyle kennedy, tim downie",united states,27-jan-21,2018,tv-ma,720,"romantic tv shows, tv action & adventure, tv dramas",this epic tale adapted from diana gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
1378,movie,penguin bloom,glendyn ivin,"naomi watts, andrew lincoln, jacki weaver, griffin murray-johnston, rachel house, leeanna walsman, lisa hensley, felix cameron, abe clifford-barr","australia, united states",27-jan-21,2021,tv-14,95,"children & family movies, dramas","as a mom copes with the aftermath of a harrowing accident, she finds inspiration from an injured magpie taken in by her family. based on a true story."
1379,movie,black rose,okey oku,"blossom chukwujekwu, ebele okaro, lilian echelon, betty bellor, swanky jka",nigeria,26-jan-21,2018,tv-14,121,"dramas, international movies","struggling in poverty with her single mother and siblings, a principled young woman meets the man of her dreams but soon finds he's keeping secrets."
1380,tv show,go dog go,unknown,"michela luci, callum shoniker, lyon smith, tajja isen, anand rajaram, david berni, linda ballantyne, joshua graham, patrick mckenna, judy marshak, martin roach, katie griffin","united states, united kingdom",26-jan-21,2021,tv-y,360,kids' tv,"handy and inventive pup tag chases adventure with her best pal, scooch, solving problems and helping the citizens of pawston along the way."
1381,movie,hire a woman,ifeanyi ikpoenyi,"alexx ekubo, nancy isime, mike godson, belinda effah, ifu ennada, uzor arukwe, uche nwaefuna, erica nlewedim",unknown,26-jan-21,2019,tv-14,108,"comedies, international movies, romantic movies",an uptight man attempts to make his ex-girlfriend jealous when he pays his co-worker to act as his lover at a university reunion.
1382,movie,she is,chris eneng enaji,"somkele iyamah, ime bishop umoh, chiwetalu agu, chigul, desmond elliot, segun arinze, alibaba akporobome, frank donga, omawumi, uzor arukwe, blessing onwukwe, amaka iruobe, waje",unknown,26-jan-21,2019,tv-pg,102,"dramas, international movies, romantic movies","under pressure from her family and friends to settle down, a successful and single woman searches for the right partner, refusing to settle for less."
1383,tv show,blown away,unknown,unknown,canada,22-jan-21,2021,tv-14,180,"international tv shows, reality tv","ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion."
1384,tv show,busted!,unknown,"yoo jae-suk, ahn jae-wook, kim jong-min, lee kwang-soo, park min-young, sehun, kim se-jeong",south korea,22-jan-21,2021,tv-14,540,"crime tv shows, international tv shows, korean tv shows","tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: what happened to project d?"
1385,tv show,demon slayer: kimetsu no yaiba,unknown,"natsuki hanae, akari kito, hiro shimono, yoshitsugu matsuoka, takahiro sakurai, hochu otsuka, yuki kaji, ai kakuma, nobuhiko okamoto, toshiyuki morikawa, aoi yuki, shiori izawa, daisuke namikawa, takumi yamazaki, hikaru midorikawa, takehito koyasu",japan,22-jan-21,2019,tv-14,360,"anime series, international tv shows","after a demon attack leaves his family slain and his sister cursed, tanjiro embarks upon a perilous journey to find a cure and avenge those he's lost."
1386,movie,so my grandma’s a lesbian!,ángeles reiné,"rosa maría sardà, verónica forqué, ingrid garcía jonsson, david verdaguer, candela peña, mónica lópez, pol monen, alex o'dogherty, leander vyvey, liz lobato","portugal, spain",22-jan-21,2020,tv-ma,95,"comedies, international movies, lgbtq movies","two women in their 70s decide to come out to their families and get married, sparking chaos — and threatening a granddaughter's engagement."
